Model,ROC-AUC,Avg Precision,Precision,Recall,F1-Score,Accuracy,CV AUC Mean,CV AUC Std,Train Time (s),Threshold
Logistic Regression,0.8742,0.9357,0.9003,0.7669,0.8283,0.779,0.8842,0.0191,9.76,0.5
Random Forest,0.8639,0.93,0.8592,0.8604,0.8598,0.805,0.8696,0.0188,65.1,0.5
